class_id,class_name,train_image_count,train_bbox_count,val_image_count,val_bbox_count,test_image_count,test_bbox_count,total_image_count,total_bbox_count,train_val_ratio_note,risk_level,recommended_action
0,apple,814,10464,209,3458,0,0,1023,13922,ok_3.9:1,ok,keep
1,orange,517,7766,148,2464,0,0,665,10230,ok_3.5:1,ok,keep
2,mandarin,18,123,8,254,0,0,26,377,ok_2.2:1,low_sample,collect_more_data
3,pomelo,52,271,0,0,0,0,52,271,missing_from_val,missing_from_val,do_not_sample_into_test_yet
4,pear,1395,36616,361,10495,0,0,1756,47111,ok_3.9:1,ok,keep
5,peach,47,647,18,209,0,0,65,856,ok_2.6:1,ok,keep
6,cherry,73,810,3,3,0,0,76,813,train_heavy_24.3:1,val_too_small,collect_more_data
7,grape,154,4682,39,916,0,0,193,5598,ok_3.9:1,ok,keep
8,persimmon,816,8509,180,2085,0,0,996,10594,ok_4.5:1,ok,keep
9,mango,50,996,15,141,0,0,65,1137,ok_3.3:1,ok,keep
10,kiwi,53,404,11,143,0,0,64,547,ok_4.8:1,ok,keep
11,plum,44,335,0,0,0,0,44,335,missing_from_val,missing_from_val,do_not_sample_into_test_yet
12,pomegranate,22,73,0,0,0,0,22,73,missing_from_val,missing_from_val,do_not_sample_into_test_yet
13,loquat,59,962,0,0,0,0,59,962,missing_from_val,missing_from_val,do_not_sample_into_test_yet
14,lychee,57,727,0,0,0,0,57,727,missing_from_val,missing_from_val,do_not_sample_into_test_yet
15,longan,22,61,0,0,0,0,22,61,missing_from_val,missing_from_val,do_not_sample_into_test_yet
16,bayberry,34,140,0,0,0,0,34,140,missing_from_val,missing_from_val,do_not_sample_into_test_yet
17,jujube,2,46,0,0,0,0,2,46,missing_from_val,low_sample,merge_or_drop_candidate
18,hawthorn,45,1118,0,0,0,0,45,1118,missing_from_val,missing_from_val,do_not_sample_into_test_yet
19,fig,2,142,1,2,0,0,3,144,ok_2.0:1,low_sample,merge_or_drop_candidate
20,papaya,7,107,0,0,0,0,7,107,missing_from_val,low_sample,merge_or_drop_candidate
21,chestnut,42,343,0,0,0,0,42,343,missing_from_val,missing_from_val,do_not_sample_into_test_yet
22,mulberry,64,666,22,275,0,0,86,941,ok_2.9:1,ok,keep
23,blueberry,73,1424,18,359,0,0,91,1783,ok_4.1:1,ok,keep
24,strawberry,231,2376,54,1135,0,0,285,3511,ok_4.3:1,ok,keep
25,coconut,20,246,3,16,0,0,23,262,ok_6.7:1,val_too_small,collect_more_data
