class_index,class_name,bbox_count,image_count
0,apple,13922,1023
1,orange,10230,665
2,mandarin,377,26
3,pomelo,271,52
4,pear,47111,1756
5,peach,856,65
6,cherry,813,76
7,grape,5598,193
8,persimmon,10594,996
9,mango,1137,65
10,kiwi,547,64
11,plum,335,44
12,pomegranate,73,22
13,loquat,962,59
14,lychee,727,57
15,longan,61,22
16,bayberry,140,34
17,jujube,46,2
18,hawthorn,1118,45
19,fig,144,3
20,papaya,107,7
21,chestnut,343,42
22,mulberry,941,86
23,blueberry,1783,91
24,strawberry,3511,285
25,coconut,262,23
