image_path,current_class,issue_type,confidence,recommended_action,notes
ml/datasets/fruit_dataset_26/images/train/loquat_Image_37.jpg,loquat,duplicate_image,high_human_approved,exclude_from_training,Duplicate group dup_003; human-approved duplicate candidate. Exclude only from a future training copy; preserve the source file.
ml/datasets/fruit_dataset_26/images/train/loquat_Image_38.jpg,loquat,duplicate_image,high_human_approved,exclude_from_training,Duplicate group dup_001; human-approved duplicate candidate. Exclude only from a future training copy; preserve the source file.
ml/datasets/fruit_dataset_26/images/train/loquat_Image_44.jpg,loquat,duplicate_image,high_human_approved,exclude_from_training,Duplicate group dup_002; human-approved duplicate candidate. Exclude only from a future training copy; preserve the source file.
ml/datasets/fruit_dataset_26/images/train/loquat_Image_45.jpg,loquat,duplicate_image,high_human_approved,exclude_from_training,Duplicate group dup_004; human-approved duplicate candidate. Exclude only from a future training copy; preserve the source file.
ml/datasets/fruit_dataset_26/images/train/lychee_Image_1.jpg,lychee,inappropriate_or_label_mismatch,high_human_review,exclude_from_training,"Duplicate group dup_005; human review reported unexpected content. Exclude from training pending content, provenance, and label curation; preserve the source file."
ml/datasets/fruit_dataset_26/images/train/lychee_Image_2.jpg,lychee,inappropriate_or_label_mismatch,high_human_review,exclude_from_training,"Duplicate group dup_005; human review reported unexpected content. Exclude from training pending content, provenance, and label curation; preserve the source file."
ml/datasets/fruit_dataset_26/images/train/loquat_Image_1.jpg,loquat,duplicate_image,high_human_approved,keep,Duplicate group dup_002; human-approved canonical retained copy.
ml/datasets/fruit_dataset_26/images/train/loquat_Image_2.jpg,loquat,duplicate_image,high_human_approved,keep,Duplicate group dup_004; human-approved canonical retained copy.
ml/datasets/fruit_dataset_26/images/train/loquat_Image_3.jpg,loquat,duplicate_image,high_human_approved,keep,Duplicate group dup_003; human-approved canonical retained copy.
ml/datasets/fruit_dataset_26/images/train/loquat_Image_4.jpg,loquat,duplicate_image,high_human_approved,keep,Duplicate group dup_001; human-approved canonical retained copy.
