image_path,current_class,issue_type,confidence,recommended_action,notes
ml/datasets/fruit_dataset_26/images/train/000000003779.jpg,grape,vision_people_without_fruit_signal,vision_people_0.654,manual_review,Vision top labels: drink=0.921; liquid=0.921; wine=0.921; red_wine=0.921; tableware=0.896
ml/datasets/fruit_dataset_26/images/train/000000004441.jpg,apple,vision_people_without_fruit_signal,vision_people_0.717,manual_review,Vision top labels: people=0.717; adult=0.716; machine=0.261; consumer_electronics=0.261; teen=0.210
ml/datasets/fruit_dataset_26/images/train/000000005589.jpg,apple,vision_nonfruit_signal,vision_computer_0.940,exclude_from_training,Vision top labels: computer=0.940; consumer_electronics=0.940; machine=0.940; computer_keyboard=0.910; structure=0.723
ml/datasets/fruit_dataset_26/images/train/000000007318.jpg,persimmon,vision_people_without_fruit_signal,vision_people_0.883,manual_review,Vision top labels: people=0.883; adult=0.883; optical_equipment=0.788; eyeglasses=0.703; sunglasses=0.657
ml/datasets/fruit_dataset_26/images/train/000000007367.jpg,pear|peach,vision_fruit_class_disagreement,vision_mango_0.769,manual_review,Vision top labels: food=0.913; fruit=0.913; banana=0.853; mango=0.769; material=0.226
ml/datasets/fruit_dataset_26/images/train/000000010476.jpg,apple,vision_nonfruit_signal,vision_computer_0.704,manual_review,Vision top labels: machine=0.704; consumer_electronics=0.704; computer=0.704; computer_monitor=0.678; structure=0.484
ml/datasets/fruit_dataset_26/images/train/000000011485.jpg,apple,vision_nonfruit_signal,vision_bedding_0.952,exclude_from_training,Vision top labels: bedding=0.952; housewares=0.952; structure=0.940; furniture=0.937; bed=0.936
ml/datasets/fruit_dataset_26/images/train/000000014036.jpg,pear,vision_people_without_fruit_signal,vision_people_0.820,manual_review,Vision top labels: people=0.820; adult=0.817; structure=0.551; wood_processed=0.425; teen=0.301
ml/datasets/fruit_dataset_26/images/train/000000015947.jpg,apple|pear,vision_nonfruit_signal,vision_furniture_0.802,manual_review,Vision top labels: structure=0.975; wood_processed=0.945; furniture=0.802; cabinet=0.765; conveyance=0.639
ml/datasets/fruit_dataset_26/images/train/000000016680.jpg,pear,vision_nonfruit_signal,vision_art_0.577,manual_review,Vision top labels: art=0.577; illustrations=0.577; structure=0.176; sign=0.176; wood_processed=0.146
ml/datasets/fruit_dataset_26/images/train/000000017573.jpg,pear,vision_nonfruit_signal,vision_clothing_0.884,exclude_from_training,Vision top labels: clothing=0.884; jeans=0.884; machine=0.564; vehicle=0.557; bicycle=0.546
ml/datasets/fruit_dataset_26/images/train/000000018563.jpg,pear,vision_people_without_fruit_signal,vision_people_0.749,manual_review,Vision top labels: people=0.749; adult=0.748; structure=0.722; furniture=0.674; cabinet=0.674
ml/datasets/fruit_dataset_26/images/train/000000018571.jpg,apple,vision_nonfruit_signal,vision_computer_0.584,manual_review,Vision top labels: machine=0.584; consumer_electronics=0.584; computer=0.584; laptop=0.522; document=0.494
ml/datasets/fruit_dataset_26/images/train/000000020279.jpg,apple,vision_people_without_fruit_signal,vision_people_0.645,manual_review,Vision top labels: consumer_electronics=0.673; machine=0.673; computer=0.672; laptop=0.672; people=0.645
ml/datasets/fruit_dataset_26/images/train/000000020376.jpg,apple,vision_people_without_fruit_signal,vision_people_0.960,manual_review,Vision top labels: people=0.960; adult=0.950; lamp=0.901; light=0.901; eyeglasses=0.746
ml/datasets/fruit_dataset_26/images/train/000000020966.jpg,apple|pear,vision_people_without_fruit_signal,vision_people_0.738,manual_review,Vision top labels: people=0.738; adult=0.738; animal=0.307; mammal=0.307; ungulates=0.307
ml/datasets/fruit_dataset_26/images/train/000000021020.jpg,pear,vision_nonfruit_signal,vision_furniture_0.835,manual_review,Vision top labels: structure=0.926; furniture=0.835; cabinet=0.835; conveyance=0.824; portal=0.824
ml/datasets/fruit_dataset_26/images/train/000000021292.jpg,pear,vision_people_without_fruit_signal,vision_people_0.718,manual_review,Vision top labels: people=0.718; child=0.717; structure=0.665; furniture=0.665; cabinet=0.665
ml/datasets/fruit_dataset_26/images/train/000000022374.jpg,apple,vision_nonfruit_signal,vision_animal_0.726,manual_review,Vision top labels: structure=0.892; wood_processed=0.892; animal=0.726; cat=0.726; feline=0.726
ml/datasets/fruit_dataset_26/images/train/000000022708.jpg,persimmon,vision_nonfruit_signal,vision_furniture_0.653,manual_review,Vision top labels: structure=0.902; wood_processed=0.875; tableware=0.866; utensil=0.866; plate=0.865
ml/datasets/fruit_dataset_26/images/train/000000023054.jpg,pear,vision_people_without_fruit_signal,vision_people_0.871,manual_review,Vision top labels: people=0.871; adult=0.871; structure=0.490; conveyance=0.490; stairs=0.490
ml/datasets/fruit_dataset_26/images/train/000000023117.jpg,apple,vision_people_without_fruit_signal,vision_people_0.924,manual_review,Vision top labels: people=0.924; adult=0.903; umbrella=0.719; utensil=0.719; crowd=0.658
ml/datasets/fruit_dataset_26/images/train/000000024428.jpg,pear,vision_people_without_fruit_signal,vision_people_0.693,manual_review,Vision top labels: outdoor=0.718; sky=0.716; blue_sky=0.716; people=0.693; adult=0.612
ml/datasets/fruit_dataset_26/images/train/000000024849.jpg,apple,vision_people_without_fruit_signal,vision_people_0.935,manual_review,Vision top labels: appliance=0.953; machine=0.953; stove=0.946; people=0.935; adult=0.890
ml/datasets/fruit_dataset_26/images/train/000000025167.jpg,persimmon,vision_people_without_fruit_signal,vision_people_0.894,manual_review,Vision top labels: adult=0.894; people=0.894; clothing=0.690; apron=0.690; structure=0.285
ml/datasets/fruit_dataset_26/images/train/000000025234.jpg,pear,vision_people_without_fruit_signal,vision_people_0.859,manual_review,Vision top labels: outdoor=0.965; sky=0.965; cloudy=0.911; blue_sky=0.870; people=0.859
ml/datasets/fruit_dataset_26/images/train/000000026052.jpg,persimmon,vision_nonfruit_signal,vision_furniture_0.738,manual_review,Vision top labels: tableware=0.976; utensil=0.976; structure=0.966; wood_processed=0.951; drinking_glass=0.913
ml/datasets/fruit_dataset_26/images/train/000000026263.jpg,pear,vision_nonfruit_signal,vision_document_0.933,exclude_from_training,Vision top labels: document=0.933; handwriting=0.933; food=0.138; fruit=0.138; banana=0.138
ml/datasets/fruit_dataset_26/images/train/000000026529.jpg,orange,vision_people_without_fruit_signal,vision_people_0.820,manual_review,Vision top labels: recreation=0.938; sport=0.938; winter_sport=0.918; skiing=0.918; frozen=0.875
ml/datasets/fruit_dataset_26/images/train/000000027348.jpg,pear,vision_people_without_fruit_signal,vision_people_0.904,manual_review,Vision top labels: people=0.904; adult=0.904; structure=0.486; furniture=0.470; table=0.470
ml/datasets/fruit_dataset_26/images/train/000000028881.jpg,strawberry,vision_people_without_fruit_signal,vision_people_0.882,manual_review,Vision top labels: grass=0.921; land=0.921; outdoor=0.921; people=0.882; adult=0.882
ml/datasets/fruit_dataset_26/images/train/000000030387.jpg,grape,vision_people_without_fruit_signal,vision_people_0.898,manual_review,Vision top labels: people=0.898; adult=0.897; clothing=0.892; suit=0.892; art=0.813
ml/datasets/fruit_dataset_26/images/train/000000032236.jpg,mulberry|strawberry,vision_people_without_fruit_signal,vision_people_0.711,manual_review,Vision top labels: people=0.711; adult=0.711; machine=0.542; wheel=0.540; tire=0.536
ml/datasets/fruit_dataset_26/images/train/000000032699.jpg,pear,vision_nonfruit_signal,vision_furniture_0.934,manual_review,Vision top labels: structure=0.980; furniture=0.934; cabinet=0.934; wood_processed=0.894; interior_room=0.704
ml/datasets/fruit_dataset_26/images/train/000000032829.jpg,pear,vision_people_without_fruit_signal,vision_people_0.930,manual_review,Vision top labels: adult=0.930; people=0.930; clothing=0.813; scarf=0.803; container=0.687
