image_path,class_name,issue_type,risk_level,vision_signal,recommended_action,approved_action,notes
ml/datasets/fruit_dataset_26/images/val/000000420713.jpg,pear|peach|grape,vision_fruit_class_disagreement,high,vision_apple_0.826,manual_review,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000261503.jpg,apple|pear,vision_fruit_class_disagreement,high,vision_mango_0.803,manual_review,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000413401.jpg,pear,vision_fruit_class_disagreement,high,vision_strawberry_0.799,manual_review,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000066670.jpg,apple,vision_fruit_class_disagreement,high,vision_mango_0.795,manual_review,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000151892.jpg,cherry,vision_fruit_class_disagreement,high,vision_grape_0.794,manual_review,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000126733.jpg,apple|pear|cherry|persimmon,vision_fruit_class_disagreement,high,vision_grape_0.779,manual_review,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000007367.jpg,pear|peach,vision_fruit_class_disagreement,high,vision_mango_0.769,manual_review,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000366389.jpg,orange,vision_fruit_class_disagreement,high,vision_apple_0.753,manual_review,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000397404.jpg,orange|pear|grape,vision_nonfruit_signal,high,vision_furniture_0.954,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/val/000000510552.jpg,apple,vision_nonfruit_signal,high,vision_furniture_0.948,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/val/000000422611.jpg,strawberry,vision_nonfruit_signal,high,vision_furniture_0.946,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/pomegranate_Image_57.jpg,pomegranate,vision_nonfruit_signal,high,vision_art_0.943,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000077990.jpg,pear,vision_nonfruit_signal,high,vision_furniture_0.940,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000551718.jpg,mango,vision_nonfruit_signal,high,vision_furniture_0.936,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000515878.jpg,peach,vision_nonfruit_signal,high,vision_furniture_0.935,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000032699.jpg,pear,vision_nonfruit_signal,high,vision_furniture_0.934,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000389006.jpg,apple,vision_nonfruit_signal,high,vision_furniture_0.933,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000446670.jpg,pear,vision_nonfruit_signal,high,vision_furniture_0.927,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000574735.jpg,pear,vision_nonfruit_signal,high,vision_furniture_0.925,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000297639.jpg,orange,vision_nonfruit_signal,high,vision_furniture_0.922,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000092998.jpg,apple,vision_nonfruit_signal,high,vision_furniture_0.920,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000151830.jpg,orange,vision_nonfruit_signal,high,vision_furniture_0.920,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000534467.jpg,apple,vision_nonfruit_signal,high,vision_furniture_0.919,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000036091.jpg,pear,vision_nonfruit_signal,high,vision_furniture_0.918,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/val/000000581501.jpg,mango,vision_nonfruit_signal,high,vision_furniture_0.918,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000267932.jpg,pear,vision_nonfruit_signal,high,vision_furniture_0.917,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000552502.jpg,orange,vision_nonfruit_signal,high,vision_furniture_0.917,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000181179.jpg,apple,vision_nonfruit_signal,high,vision_furniture_0.915,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000130180.jpg,grape,vision_nonfruit_signal,high,vision_furniture_0.912,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000541279.jpg,pear,vision_nonfruit_signal,high,vision_furniture_0.912,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/val/000000226559.jpg,apple|orange,vision_nonfruit_signal,high,vision_furniture_0.911,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000139004.jpg,pear,vision_nonfruit_signal,high,vision_furniture_0.910,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/chestnut_Image_39.jpg,chestnut,vision_nonfruit_signal,high,vision_art_0.909,exclude_from_training_candidate,pending_review,
ml/datasets/fruit_dataset_26/images/train/000000432417.jpg,orange,vision_nonfruit_signal,high,vision_furniture_0.907,exclude_from_training_candidate,pending_review,
