epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.019,1.90927,4.31109,1.27032,0.71438,0.04058,0.01855,0.00999,1.9667,3.23969,1.12425,0.000109953,0.000109953,0.000109953
2,440.146,2.01057,2.68769,1.15192,0.68831,0.07669,0.04903,0.02579,1.92315,2.32005,1.07602,0.000213661,0.000213661,0.000213661
3,662.716,1.9322,2.18466,1.12708,0.56599,0.07547,0.05605,0.0307,1.88002,2.15571,1.07607,0.000310044,0.000310044,0.000310044
4,863.348,1.85792,1.98463,1.11202,0.49791,0.08959,0.06553,0.03447,1.84029,2.00397,1.06884,0.000300033,0.000300033,0.000300033
5,1063.14,1.77687,1.84583,1.09957,0.37452,0.09636,0.06875,0.03677,1.80896,1.83908,1.05295,0.000289044,0.000289044,0.000289044
6,1277.31,1.79001,1.74964,1.09226,0.394,0.10885,0.07136,0.03767,1.76503,1.94087,1.04379,0.000278055,0.000278055,0.000278055
7,1489.59,1.73334,1.68303,1.08096,0.6336,0.09347,0.08293,0.04423,1.75864,1.70373,1.03854,0.000267066,0.000267066,0.000267066
8,1685.86,1.75191,1.67965,1.08323,0.49716,0.1186,0.09111,0.04965,1.75127,1.67393,1.05591,0.000256077,0.000256077,0.000256077
9,1883.98,1.73413,1.63403,1.07194,0.40547,0.13595,0.0963,0.05258,1.71597,1.67619,1.03217,0.000245088,0.000245088,0.000245088
10,2090.42,1.72542,1.58218,1.06715,0.41342,0.13196,0.09238,0.05057,1.71216,1.68175,1.03395,0.000234099,0.000234099,0.000234099
11,2309.71,1.7346,1.56973,1.07289,0.41604,0.13305,0.09199,0.05082,1.7143,1.66634,1.03146,0.00022311,0.00022311,0.00022311
12,2526.49,1.69119,1.52936,1.06706,0.35504,0.1474,0.10187,0.05524,1.70014,1.64668,1.03025,0.000212121,0.000212121,0.000212121
13,2745.17,1.66595,1.50727,1.06223,0.34825,0.14727,0.102,0.05616,1.66254,1.63019,1.02302,0.000201132,0.000201132,0.000201132
14,2961.7,1.66171,1.47668,1.0572,0.48991,0.14149,0.10442,0.05744,1.67145,1.54782,1.02583,0.000190143,0.000190143,0.000190143
15,3162.02,1.643,1.46006,1.05439,0.40798,0.14754,0.10314,0.05738,1.66607,1.54763,1.02589,0.000179154,0.000179154,0.000179154
16,3359.5,1.65508,1.43414,1.05653,0.44003,0.13606,0.10386,0.0576,1.66493,1.5626,1.02405,0.000168165,0.000168165,0.000168165
17,3558.17,1.60908,1.40743,1.0521,0.43287,0.14036,0.10864,0.06047,1.67551,1.55412,1.02849,0.000157176,0.000157176,0.000157176
18,3759.7,1.63363,1.39581,1.0465,0.29016,0.15714,0.11257,0.06181,1.66143,1.54154,1.02061,0.000146187,0.000146187,0.000146187
19,3966.53,1.62034,1.38372,1.04691,0.38169,0.1442,0.10982,0.06157,1.63768,1.50323,1.01508,0.000135198,0.000135198,0.000135198
20,4171.21,1.64119,1.38567,1.04234,0.38446,0.14157,0.11028,0.06245,1.63754,1.49887,1.01958,0.000124209,0.000124209,0.000124209
21,4377.08,1.56347,1.41513,1.03529,0.35564,0.14967,0.11106,0.06204,1.64652,1.59086,1.02375,0.00011322,0.00011322,0.00011322
22,4587.69,1.54697,1.36498,1.03027,0.45072,0.14223,0.11076,0.06234,1.64665,1.50547,1.01734,0.000102231,0.000102231,0.000102231
23,4798.56,1.55249,1.32221,1.02735,0.24683,0.14908,0.11354,0.06384,1.635,1.5207,1.01011,9.1242e-05,9.1242e-05,9.1242e-05
24,5009.62,1.54841,1.31219,1.03536,0.41528,0.1428,0.11714,0.06526,1.64487,1.5212,1.01308,8.0253e-05,8.0253e-05,8.0253e-05
25,5218.43,1.53789,1.29266,1.02092,0.3318,0.14136,0.1142,0.06469,1.63519,1.50198,1.01235,6.9264e-05,6.9264e-05,6.9264e-05
26,5427.76,1.51531,1.25208,1.0191,0.40023,0.13666,0.11485,0.0662,1.6224,1.48906,1.0118,5.8275e-05,5.8275e-05,5.8275e-05
27,5641.62,1.52559,1.24892,1.01846,0.32567,0.13704,0.11022,0.06305,1.62389,1.49822,1.00989,4.7286e-05,4.7286e-05,4.7286e-05
28,5845.43,1.51979,1.23218,1.01458,0.31902,0.14512,0.11362,0.06505,1.62034,1.46842,1.00892,3.6297e-05,3.6297e-05,3.6297e-05
29,6049.25,1.50482,1.218,1.01576,0.31849,0.13738,0.11172,0.06431,1.61284,1.46868,1.0092,2.5308e-05,2.5308e-05,2.5308e-05
30,6259.61,1.49329,1.20545,1.01125,0.32227,0.14611,0.11583,0.06624,1.6137,1.4652,1.00739,1.4319e-05,1.4319e-05,1.4319e-05
