epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252,1.82598,4.31144,1.23344,0.5134,0.04797,0.02334,0.01215,1.97769,3.13805,1.10395,0.000110059,0.000110059,0.000110059
2,519.991,1.93142,2.80583,1.12891,0.68519,0.07772,0.05005,0.02468,1.94777,2.36872,1.08416,0.000213764,0.000213764,0.000213764
3,779.989,1.8369,2.32369,1.11267,0.63299,0.08486,0.06006,0.02943,1.84708,2.01338,1.06451,0.000310143,0.000310143,0.000310143
4,1042.88,1.79316,2.12844,1.09922,0.63085,0.08927,0.06039,0.03072,1.92533,2.04752,1.06247,0.000300033,0.000300033,0.000300033
5,1317.36,1.71214,1.98047,1.08772,0.66058,0.10529,0.07235,0.03878,1.78444,1.8471,1.05697,0.000289044,0.000289044,0.000289044
6,1575.49,1.68389,1.862,1.08206,0.73388,0.09355,0.08063,0.04326,1.76355,1.74597,1.04059,0.000278055,0.000278055,0.000278055
7,1834.37,1.65019,1.77235,1.07146,0.39486,0.12103,0.08004,0.04332,1.72862,1.83451,1.04484,0.000267066,0.000267066,0.000267066
8,2090.6,1.65262,1.76034,1.07371,0.42102,0.12265,0.08569,0.0465,1.70977,1.82609,1.03935,0.000256077,0.000256077,0.000256077
9,2350.38,1.62373,1.73109,1.0626,0.46603,0.13618,0.09227,0.04867,1.71727,1.71417,1.0382,0.000245088,0.000245088,0.000245088
10,2607.31,1.62533,1.68778,1.06116,0.39999,0.13346,0.09308,0.0508,1.7137,1.70711,1.02867,0.000234099,0.000234099,0.000234099
11,2865.31,1.60682,1.65495,1.05805,0.414,0.13613,0.09921,0.05473,1.71068,1.66139,1.02994,0.00022311,0.00022311,0.00022311
12,3123.04,1.58954,1.6199,1.05481,0.42005,0.12788,0.10038,0.05536,1.70131,1.63095,1.02887,0.000212121,0.000212121,0.000212121
13,3379.41,1.59604,1.57124,1.05214,0.4098,0.13207,0.09733,0.05388,1.69862,1.67214,1.02993,0.000201132,0.000201132,0.000201132
14,3637.48,1.58042,1.55091,1.0472,0.41267,0.15313,0.10448,0.05692,1.68646,1.61418,1.02852,0.000190143,0.000190143,0.000190143
15,3895.4,1.59373,1.53154,1.0469,0.43391,0.14177,0.10755,0.05891,1.67544,1.63375,1.02752,0.000179154,0.000179154,0.000179154
16,4152.88,1.56026,1.51333,1.04428,0.39469,0.14641,0.10955,0.06192,1.66406,1.57374,1.0281,0.000168165,0.000168165,0.000168165
17,4415.07,1.56542,1.51277,1.042,0.42305,0.16314,0.11771,0.06746,1.64678,1.54617,1.01311,0.000157176,0.000157176,0.000157176
18,4674,1.54539,1.46653,1.03631,0.49303,0.13493,0.10417,0.05779,1.66254,1.58987,1.01863,0.000146187,0.000146187,0.000146187
19,4933.22,1.53681,1.43909,1.03236,0.3863,0.16335,0.12019,0.06712,1.64787,1.54529,1.01584,0.000135198,0.000135198,0.000135198
20,5194.94,1.55245,1.44412,1.0337,0.30559,0.15412,0.11225,0.0638,1.6521,1.57921,1.01489,0.000124209,0.000124209,0.000124209
21,5469.92,1.48427,1.46344,1.02591,0.51435,0.15115,0.12327,0.06848,1.65265,1.54354,1.02166,0.00011322,0.00011322,0.00011322
22,5760.6,1.48091,1.39132,1.01936,0.3856,0.15966,0.12543,0.06917,1.64167,1.54785,1.01631,0.000102231,0.000102231,0.000102231
23,6070.35,1.47622,1.3549,1.02054,0.4211,0.14408,0.12273,0.06879,1.64393,1.53302,1.01758,9.1242e-05,9.1242e-05,9.1242e-05
24,6388.89,1.46702,1.32794,1.01252,0.47573,0.15516,0.12745,0.07171,1.63202,1.51711,1.01542,8.0253e-05,8.0253e-05,8.0253e-05
25,6678.92,1.4655,1.30476,1.01286,0.46506,0.1519,0.12696,0.07138,1.63568,1.5115,1.0148,6.9264e-05,6.9264e-05,6.9264e-05
26,6965.61,1.45639,1.27851,1.01311,0.35947,0.16141,0.12847,0.07265,1.62093,1.49128,1.0079,5.8275e-05,5.8275e-05,5.8275e-05
27,7251.34,1.43852,1.26552,1.00912,0.26564,0.16924,0.12438,0.07112,1.62759,1.49112,1.01242,4.7286e-05,4.7286e-05,4.7286e-05
28,7539.77,1.43771,1.25386,1.00685,0.377,0.15913,0.12705,0.07182,1.63187,1.51305,1.01267,3.6297e-05,3.6297e-05,3.6297e-05
29,7832.51,1.44034,1.24485,1.00572,0.39073,0.1506,0.12534,0.072,1.62385,1.4811,1.01208,2.5308e-05,2.5308e-05,2.5308e-05
30,8125.5,1.42863,1.23809,1.00341,0.38205,0.16216,0.12662,0.07258,1.62276,1.48581,1.01069,1.4319e-05,1.4319e-05,1.4319e-05
